START TIME:2025-08-06 10:43:44,
121.771,1369817
121.809,1369199
121.85,1368478
121.888,1368794
121.929,1368280
121.966,1368077
122,1368186
122.041,1368398
122.077,1368299
122.111,1368200
122.145,1367789
122.188,1367794
122.222,1367384
122.257,1366766
122.298,1366563
122.334,1366672
122.369,1366780
122.411,1366992
122.445,1367309
122.488,1367521
122.527,1367526
122.567,1367012
122.608,1367121
122.647,1366815
122.688,1366094
122.726,1366202
122.766,1366208
122.805,1365382
122.846,1365802
122.882,1365807
122.917,1365293
122.951,1365090
122.992,1365613
123.027,1364684
123.061,1364689
123.1,1364175
123.14,1363972
123.178,1363147
123.218,1362944
123.257,1362119
123.298,1361917
123.335,1361818
123.376,1361304
123.413,1360894
123.447,1361106
123.488,1361110
123.523,1360804
123.557,1361016
123.592,1361228
123.633,1361025
123.667,1361237
123.702,1361242
123.744,1361558
123.779,1361770
123.814,1361567
123.856,1361676
123.89,1361888
123.932,1361685
123.967,1361483
124.001,1361695
124.044,1361492
124.078,1361393
124.112,1361190
124.154,1360987
124.189,1361614
124.223,1361619
124.263,1361935
124.298,1361940
124.336,1362152
124.375,1361638
124.416,1361643
124.454,1361648
124.495,1361549
124.532,1362177
124.574,1362078
124.611,1362602
124.652,1362296
124.69,1362508
124.731,1362513
124.77,1362622
124.804,1362315
124.839,1362631
124.88,1362221
124.915,1361188
124.949,1361296
124.991,1360574
125.025,1360268
125.063,1360584
125.101,1360589
125.142,1360386
125.179,1360910
125.221,1360811
125.258,1360712
125.293,1361132
125.333,1360929
125.369,1360519
125.403,1360420
125.438,1360113
125.48,1358768
125.514,1358773
125.549,1358882
125.592,1358783
125.626,1358995
125.661,1359726
125.702,1359938
125.737,1359943
125.772,1359948
125.814,1359641
125.848,1360061
125.883,1359650
125.924,1359447
125.958,1359660
125.993,1360079
126.035,1360084
126.069,1359881
126.107,1359575
126.146,1358749
126.186,1357613
126.224,1356995
126.265,1356274
126.302,1355449
126.343,1355557
126.38,1355874
126.414,1355360
126.455,1355572
126.49,1355888
126.532,1355374
126.569,1354652
126.603,1354449
126.638,1354973
126.68,1355185
126.714,1356020
126.749,1356336
126.791,1356548
126.826,1356242
126.869,1356350
126.904,1355629
126.939,1356567
126.981,1356883
127.015,1356369
127.057,1356063
127.096,1355861
127.136,1355347
127.176,1355041
127.215,1355357
127.256,1355362
127.294,1355367
127.334,1354957
127.373,1355169
127.413,1354967
127.453,1354868
127.493,1354770
127.532,1354463
127.573,1354053
127.612,1354058
127.653,1353752
127.692,1353861
127.733,1353658
127.771,1353560
127.811,1353357
127.851,1353155
127.892,1353886
127.931,1355447
127.97,1355245
128.01,1355665
128.051,1355981
128.09,1355779
128.124,1355161
128.159,1355477
128.2,1355274
128.234,1355071
128.27,1353727
128.31,1353420
128.348,1353529
128.388,1353741
128.428,1353850
128.466,1354270
128.507,1353549
128.546,1353035
128.586,1353040
128.625,1352838
128.666,1353050
128.705,1352951
128.745,1353164
128.785,1352547
128.824,1352655
128.865,1352660
128.903,1353080
128.943,1353085
128.982,1353505
129.022,1352992
129.061,1352167
129.101,1351964
129.14,1351658
129.181,1351040
129.22,1351668
129.26,1352295
129.299,1351782
129.338,1351890
129.378,1351584
129.417,1350966
129.458,1350764
129.496,1351288
129.537,1351293
129.576,1352232
129.617,1352859
129.655,1352864
129.696,1352351
129.734,1351733
129.775,1351012
129.812,1350601
129.854,1350814
129.891,1351545
129.925,1352172
129.966,1352177
130.002,1351974
130.036,1351564
130.07,1350738
130.113,1350535
130.148,1350229
130.182,1350337
130.224,1350861
130.258,1351280
130.293,1351078
130.335,1351290
130.369,1351399
130.412,1350677
130.45,1350475
130.491,1350895
130.531,1351107
130.569,1351527
130.61,1351636
130.649,1351953
130.69,1351854
130.729,1351859
130.769,1351760
130.808,1352076
130.848,1352600
130.887,1352502
130.929,1352818
130.967,1352304
131.008,1352517
131.047,1352107
131.087,1352527
131.126,1353051
131.166,1353678
131.206,1354098
131.246,1354103
131.284,1354108
131.325,1353283
131.364,1353081
131.405,1352774
131.443,1353610
131.483,1353822
131.522,1354450
131.562,1354662
131.601,1354979
131.642,1354153
131.681,1354158
131.721,1353748
131.76,1353546
131.8,1353551
131.84,1353867
131.881,1353665
131.918,1353670
131.959,1354090
131.998,1354302
132.039,1354826
132.076,1355142
132.117,1356496
132.155,1356501
132.196,1356299
132.235,1356304
132.275,1356205
132.315,1355795
132.355,1355593
132.393,1355598
132.434,1354980
132.471,1354674
132.512,1353952
132.551,1353542
132.591,1354066
132.63,1354071
132.67,1354387
132.709,1354185
132.751,1355020
132.789,1354506
132.83,1354200
132.867,1353790
132.908,1354625
132.947,1354423
132.988,1355050
133.025,1356093
133.066,1356513
133.105,1355895
133.146,1356108
133.183,1355282
133.217,1354042
133.252,1353216
133.293,1353532
133.327,1353329
133.363,1353542
133.404,1353962
133.442,1354900
133.484,1354802
133.52,1354391
133.555,1354396
133.596,1355231
133.631,1354717
133.673,1354722
133.711,1355142
133.753,1355147
133.793,1354633
133.833,1354846
133.873,1354436
133.912,1354544
133.946,1354964
133.98,1354346
134.022,1354351
134.057,1355186
134.091,1354672
134.133,1354676
134.169,1355096
134.203,1355204
134.245,1355002
134.28,1355421
134.314,1355219
134.356,1355431
134.39,1355539
134.424,1356063
134.467,1356275
134.501,1356279
134.535,1356284
134.578,1356393
134.612,1356294
134.647,1357025
134.689,1356822
134.724,1357345
134.759,1357246
134.801,1357043
134.835,1356529
134.87,1356430
134.912,1356435
134.947,1356544
134.989,1356341
135.024,1356449
135.058,1357284
135.099,1358015
135.133,1358331
135.168,1358336
135.211,1358340
135.245,1358553
135.283,1357935
135.322,1358666
135.361,1358983
135.402,1358988
135.441,1359200
135.48,1359413
135.52,1359003
135.56,1359319
135.599,1358805
135.64,1358188
135.679,1357881
135.718,1357783
135.758,1357373
135.798,1357896
135.837,1358005
135.877,1358114
135.917,1357496
135.956,1357813
135.995,1358025
136.035,1358445
136.075,1359592
136.114,1360738
136.154,1361366
