START TIME:2025-04-28 18:25:15,
43.623,1138806
43.663,1138787
43.7,1138793
43.742,1138930
43.779,1138890
43.814,1138826
43.855,1138749
43.891,1138784
43.926,1138735
43.968,1138734
44.004,1138826
44.045,1138792
44.08,1138668
44.116,1138661
44.157,1138657
44.191,1138775
44.234,1138571
44.27,1138615
44.305,1138625
44.348,1138738
44.384,1138710
44.426,1138608
44.461,1138580
44.496,1138485
44.537,1138651
44.572,1138661
44.607,1138588
44.649,1138569
44.684,1138569
44.727,1138548
44.763,1138593
44.805,1138541
44.84,1138715
44.875,1138619
44.917,1138390
44.951,1138412
44.987,1138648
45.028,1138596
45.063,1138363
45.099,1138357
45.14,1138464
45.175,1138525
45.218,1138442
45.254,1138450
45.289,1138287
45.331,1138271
45.367,1138299
45.407,1138200
45.442,1138362
45.478,1138430
45.518,1138327
45.554,1138256
45.589,1138056
45.631,1138266
45.666,1138329
45.709,1138200
45.744,1138097
45.786,1138164
45.826,1138265
45.866,1138357
45.907,1138219
45.945,1138115
45.987,1138161
46.025,1138235
46.067,1138227
46.104,1138332
46.138,1138157
46.173,1138182
46.215,1138202
46.25,1138310
46.287,1138265
46.327,1138123
46.367,1138046
46.406,1138204
46.447,1138280
46.483,1138182
46.526,1138130
46.562,1138145
46.597,1138015
46.639,1138139
46.674,1138122
46.709,1138093
46.744,1137997
46.785,1138051
46.82,1138195
46.858,1138200
46.896,1138051
46.938,1137950
46.976,1138020
47.018,1138077
47.055,1138035
47.09,1138054
47.132,1138022
47.167,1138046
47.202,1138054
47.244,1137985
47.279,1137883
47.314,1137952
47.356,1137886
47.391,1137990
47.431,1138098
47.466,1137879
47.509,1137805
47.544,1137937
47.579,1137925
47.622,1137795
47.657,1137800
47.692,1137871
47.733,1137950
47.769,1137919
47.804,1137831
47.844,1137939
47.879,1137924
47.921,1137732
47.956,1137865
47.999,1137927
48.035,1137752
48.07,1137828
48.112,1137870
48.148,1137912
48.183,1137836
48.224,1137756
48.259,1137798
48.295,1137819
48.336,1137844
48.371,1137696
48.412,1137831
48.447,1137807
48.49,1137747
48.525,1137831
48.56,1137834
48.603,1137718
48.638,1137734
48.673,1137822
48.715,1137841
48.749,1137737
48.784,1137764
48.826,1137729
48.861,1137811
48.903,1137730
48.938,1137776
48.981,1137845
49.016,1137709
49.051,1137746
49.093,1137796
49.129,1137802
49.164,1137871
49.205,1137654
49.24,1137659
49.276,1137744
49.316,1137851
49.351,1137769
49.392,1137632
49.427,1137736
49.47,1137815
49.506,1137732
49.541,1137674
49.583,1137742
49.618,1137672
49.653,1137929
49.694,1138043
49.729,1140259
49.764,1137974
49.805,1139705
49.84,1140002
49.881,1140245
49.917,1140225
49.96,1140616
49.995,1140491
50.03,1140380
50.073,1140466
50.108,1140321
50.149,1140349
50.184,1140407
50.227,1140385
50.261,1140392
50.297,1140336
50.339,1140408
50.373,1140464
50.409,1140510
50.451,1140522
50.487,1140778
50.529,1140894
50.565,1140842
50.6,1140942
50.643,1141046
50.686,1141109
50.727,1141085
50.765,1141229
50.807,1141419
50.845,1141408
50.887,1141540
50.924,1141627
50.958,1141512
50.993,1141613
51.035,1141631
51.07,1141805
51.106,1141824
51.146,1142030
51.187,1142032
51.225,1141872
51.267,1141978
51.305,1142076
51.347,1142172
51.384,1142085
51.427,1142086
51.463,1142342
51.505,1142306
51.542,1142342
51.577,1142285
51.619,1142359
51.654,1142460
51.689,1142323
51.731,1142584
51.765,1142569
51.801,1142559
51.842,1142526
51.877,1142525
51.918,1142597
51.953,1142636
51.996,1142543
52.032,1142568
52.067,1142771
52.109,1142750
52.144,1142699
52.187,1142811
52.222,1142700
52.257,1142658
52.297,1142732
52.332,1142792
52.367,1142869
52.409,1142873
52.444,1142789
52.487,1142867
52.522,1142962
52.558,1142796
52.601,1142855
52.636,1142980
52.678,1142955
52.713,1143083
52.749,1143108
52.789,1143086
52.824,1143074
52.86,1143036
52.9,1143006
52.934,1143143
52.977,1143137
53.013,1143152
53.048,1143192
53.09,1143283
53.126,1143055
53.161,1143138
53.201,1143121
53.237,1143232
53.272,1143196
53.313,1143167
53.348,1143349
53.39,1143309
53.426,1143275
53.469,1143221
53.504,1143271
53.539,1143195
53.582,1143221
53.617,1143415
53.652,1143302
53.693,1143271
